Geography,State,Year,Per capita personal income
San Jose-Sunnyvale-Santa Clara, CA,2019,114080
San Luis Obispo-Paso Robles, CA,2019,61004
Santa Cruz-Watsonville, CA,2019,71592
Santa Fe, NM,2019,60276
Santa Maria-Santa Barbara, CA,2019,66076
Santa Rosa-Petaluma, CA,2019,66700
Savannah, GA,2019,47869
Scranton--Wilkes-Barre, PA,2019,47385
Seattle-Tacoma-Bellevue, WA,2019,78073
Sebastian-Vero Beach, FL,2019,80818
Sebring-Avon Park, FL,2019,34480
Sheboygan, WI,2019,54703
Sherman-Denison, TX,2019,43987
Shreveport-Bossier City, LA,2019,48310
Sierra Vista-Douglas, AZ,2019,41766
Sioux City, IA-NE-SD,2019,52829
Sioux Falls, SD,2019,62003
South Bend-Mishawaka, IN-MI,2019,48035
Spartanburg, SC,2019,44169
Spokane-Spokane Valley, WA,2019,47827
Springfield, IL,2019,49301
Springfield, MA,2019,53978
Springfield, MO,2019,42605
Springfield, OH,2019,41811
State College, PA,2019,47564
Staunton, VA,2019,45658
Stockton, CA,2019,47139
Sumter, SC,2019,38687
Syracuse, NY,2019,52051
Tallahassee, FL,2019,44232
Tampa-St. Petersburg-Clearwater, FL,2019,48908
Terre Haute, IN,2019,38851
Texarkana, TX-AR,2019,38910
The Villages, FL,2019,48387
Toledo, OH,2019,48330
Topeka, KS,2019,47418
Trenton-Princeton, NJ,2019,71790
Tucson, AZ,2019,45456
Tulsa, OK,2019,56540
Tuscaloosa, AL,2019,39738
Twin Falls, ID,2019,41899
Tyler, TX,2019,56292
Urban Honolulu, HI,2019,61174
Utica-Rome, NY,2019,46151
Valdosta, GA,2019,37623
Vallejo, CA,2019,53505
Victoria, TX,2019,48681
Vineland-Bridgeton, NJ,2019,41237
Virginia Beach-Norfolk-Newport News, VA-NC,2019,52011
Visalia, CA,2019,42845
Waco, TX,2019,41723
Walla Walla, WA,2019,48444
Warner Robins, GA,2019,43358
Washington-Arlington-Alexandria, DC-VA-MD-WV,2019,74385
Waterloo-Cedar Falls, IA,2019,47623
Watertown-Fort Drum, NY,2019,49365
Wausau-Weston, WI,2019,51295
Weirton-Steubenville, WV-OH,2019,42158
Wenatchee, WA,2019,51023
Wheeling, WV-OH,2019,49301
Wichita, KS,2019,52129
Wichita Falls, TX,2019,44910
Williamsport, PA,2019,44941
Wilmington, NC,2019,45975
Winchester, VA-WV,2019,49643
Winston-Salem, NC,2019,45904
Worcester, MA-CT,2019,57214
Yakima, WA,2019,45757
York-Hanover, PA,2019,51585
Youngstown-Warren-Boardman, OH-PA,2019,43167
Yuba City, CA,2019,45782
Yuma, AZ,2019,36570
